,word1,word2,word3,true_word,section,predword,similary
0,Athens,Greece,Baghdad,Iraq,": capital-common-countries
",Iraqi,0.6351870894432068
1,Athens,Greece,Bangkok,Thailand,": capital-common-countries
",Thailand,0.7137669324874878
2,Athens,Greece,Beijing,China,": capital-common-countries
",China,0.7235777974128723
3,Athens,Greece,Berlin,Germany,": capital-common-countries
",Germany,0.6734622716903687
4,Athens,Greece,Bern,Switzerland,": capital-common-countries
",Switzerland,0.4919748306274414
5,Athens,Greece,Cairo,Egypt,": capital-common-countries
",Egypt,0.7527809739112854
6,Athens,Greece,Canberra,Australia,": capital-common-countries
",Australia,0.583732545375824
7,Athens,Greece,Hanoi,Vietnam,": capital-common-countries
",Viet_Nam,0.6276341676712036
8,Athens,Greece,Havana,Cuba,": capital-common-countries
",Cuba,0.6460990905761719
9,Athens,Greece,Helsinki,Finland,": capital-common-countries
",Finland,0.6899983286857605
10,Athens,Greece,Islamabad,Pakistan,": capital-common-countries
",Pakistan,0.7233325839042664
11,Athens,Greece,Kabul,Afghanistan,": capital-common-countries
",Afghan,0.6160916090011597
12,Athens,Greece,London,England,": capital-common-countries
",Britain,0.5646187663078308
13,Athens,Greece,Madrid,Spain,": capital-common-countries
",Spain,0.703661322593689
14,Athens,Greece,Moscow,Russia,": capital-common-countries
",Russia,0.738297164440155
15,Athens,Greece,Oslo,Norway,": capital-common-countries
",Norway,0.6470744013786316
16,Athens,Greece,Ottawa,Canada,": capital-common-countries
",Canada,0.5912168622016907
17,Athens,Greece,Paris,France,": capital-common-countries
",France,0.6724624037742615
18,Athens,Greece,Rome,Italy,": capital-common-countries
",Italy,0.6826189756393433
19,Athens,Greece,Stockholm,Sweden,": capital-common-countries
",Sweden,0.675724446773529
20,Athens,Greece,Tehran,Iran,": capital-common-countries
",Iran,0.7671369910240173
21,Athens,Greece,Tokyo,Japan,": capital-common-countries
",Japan,0.7256094813346863
22,Baghdad,Iraq,Bangkok,Thailand,": capital-common-countries
",Thailand,0.6745353937149048
23,Baghdad,Iraq,Beijing,China,": capital-common-countries
",China,0.6915649175643921
24,Baghdad,Iraq,Berlin,Germany,": capital-common-countries
",Germany,0.6057408452033997
25,Baghdad,Iraq,Bern,Switzerland,": capital-common-countries
",coach_Bobby_Curlings,0.4347156882286072
